,Best activation,Best solver,Fold Accuracy
Fold- 1,identity,lbfgs,0.8392070484581498
Fold- 2,identity,lbfgs,0.8348017621145375
Fold- 3,identity,lbfgs,0.8259911894273128
Fold- 4,identity,lbfgs,0.8215859030837004
Fold- 5,identity,lbfgs,0.8171806167400881
Fold- 6,identity,lbfgs,0.8370044052863436
Fold- 7,identity,lbfgs,0.8458149779735683
Fold- 8,identity,lbfgs,0.8502202643171806
Fold- 9,identity,lbfgs,0.847682119205298
Fold-10,identity,lbfgs,0.8432671081677704
---,---,---,---
mean,N/A,N/A,0.8362755394773949
modes,identity,lbfgs,N/A
